"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.67013905468518e-27,0.653084206296442,0.908,0.718,1.93526173839628e-22,"8","ARPC1B"
1.00255252360211e-26,1.2051534210652,0.503,0.25,2.23779748793226e-22,"8","LFNG"
1.30257851045666e-26,0.681074310652127,0.807,0.521,2.90748549319031e-22,"8","SEC61G"
2.45913672896379e-26,1.80197218522718,0.234,0.071,5.48903909272008e-22,"8","KIAA0513"
3.10060947783809e-26,0.663811629208937,0.921,0.663,6.9208704154824e-22,"8","SLC25A6"
3.66851643534846e-26,1.31778978075062,0.661,0.382,8.1884955353413e-22,"8","SLC25A37"
5.90866436340946e-26,0.880810595478213,0.725,0.466,1.31887297255663e-21,"8","RAB8A"
1.19138595043147e-25,0.793656736998926,0.861,0.622,2.65929257995809e-21,"8","C1orf162"
1.38917623254454e-25,0.610975582601132,0.943,0.671,3.10078026866267e-21,"8","ANXA2"
1.45148988981421e-25,1.37518283996214,0.494,0.247,3.2398705830543e-21,"8","ITGAL"
1.4850118227392e-25,0.812708438300034,0.772,0.498,3.31469488953616e-21,"8","SP110"
1.53669771261374e-25,1.83159209760633,0.206,0.058,3.43006296432513e-21,"8","PTGIR"
1.71686238365036e-25,0.485855653957693,0.994,0.926,3.83220852654597e-21,"8","RPL8"
2.56130445649573e-25,0.737157481658572,0.595,0.323,5.71708767734411e-21,"8","CD55"
2.65223796133563e-25,0.892494980529119,0.737,0.486,5.92006035349725e-21,"8","TGFB1"
2.76060083589405e-25,0.557306373212636,0.946,0.812,6.16193712579912e-21,"8","YBX1"
4.33648910336066e-25,1.75751133247128,0.253,0.084,9.67947732761133e-21,"8","SIRPB1"
5.97555621356169e-25,0.411931085998349,0.991,0.914,1.3338039024291e-20,"8","RPL18A"
6.2697208676372e-25,0.592310622115776,0.915,0.669,1.3994643948653e-20,"8","TSPO"
6.63170169037483e-25,0.664941372701515,0.804,0.535,1.48026213430857e-20,"8","STAT1"
