"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Early","CCL","Mac-TNF-CCL4-inflammatory","Cell cycle cell",6,0.112738077491993
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","Endothelia",2,0.00868116397523152
"Early","CCL","Mac-TNF-CCL4-inflammatory","Endothelia",2,0.0690642097522327
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Endothelia",1,0.0228723625442321
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","Mac-Cycling",3,0.119947103020642
"Early","CCL","Mac-TNF-CCL4-inflammatory","Mac-Cycling",3,0.16967198837084
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Mac-Cycling",2,0.142886495682751
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","Mac-FOLR2-LYVE1-resident",3,0.0885940280792139
"Early","CCL","Mac-TNF-CCL4-inflammatory","Mac-FOLR2-LYVE1-resident",3,0.0776550307415237
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Mac-FOLR2-LYVE1-resident",2,0.272283211785537
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","Mac-OLFML3-CX3CR1-resident",3,0.121593509989949
"Early","CCL","Mac-TNF-CCL4-inflammatory","Mac-OLFML3-CX3CR1-resident",3,0.0738602820130767
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Mac-OLFML3-CX3CR1-resident",4,0.228065003686054
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Mac-TNF-CCL4-inflammatory",2,0.0489714228264863
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","Mono-FCN1-S100A8-S100A9",4,0.109560254556312
"Early","CCL","Mac-TNF-CCL4-inflammatory","Mono-FCN1-S100A8-S100A9",4,0.134438202539627
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Mono-FCN1-S100A8-S100A9",2,0.105283412934697
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Myeloid",2,0.0472794618346293
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC",7,0.190709214609854
"Early","CCL","Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC",7,0.144532999612386
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC",4,0.147501453597216
"Early","CCL","Mono-FCN1-S100A8-S100A9","B cell_plasma",1,0.00228663457576901
"Advanced","CCL","Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like",2,0.112223407237861
"Early","CCL","Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like",4,0.109258943485983
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like",4,0.152765002477599
"Advanced","CCL","Mono-FCN1-S100A8-S100A9","C7-APOBEC3A-like",2,0.122452445697968
"Early","CCL","Mono-FCN1-S100A8-S100A9","C7-APOBEC3A-like",4,0.12815593286664
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","C7-APOBEC3A-like",4,0.143759139017201
"Early","CCL","Mono-FCN1-S100A8-S100A9","Cell cycle cell",4,0.0474217904724459
"Early","CCL","Mono-FCN1-S100A8-S100A9","Endothelia",1,0.00722272299028738
"Advanced","CCL","Mono-FCN1-S100A8-S100A9","Mac-Cycling",2,0.0609770694805424
"Early","CCL","Mono-FCN1-S100A8-S100A9","Mac-Cycling",2,0.0715565070650168
